es,slug
perdición de los orokin prime,primed_bane_of_corrupted
abrigo cálido,warm_coat
cargador viciado,tainted_mag
retirada táctica,tactical_retreat
pureza brillante,bright_purity
explosión gélida,frigid_blast
rondas de metralla,shrapnel_rounds
filo sangrante,bleeding_edge
buscador de pax,pax_seeker
plano de mesa prime,mesa_prime_blueprint
plano de neurópticas de equinox prime,equinox_prime_neuroptics_blueprint
plano de redeemer prime,redeemer_prime_blueprint
espina virtuosa,virtuos_spike
plano de tipedo prime,tipedo_prime_blueprint
bordes aserrados,serrated_edges
repelente de llamas,flame_repellent
quanta vándalo,quanta_vandal
detron mara,mara_detron
absorber impacto,shock_absorbers
receptor de bronco prime,bronco_prime_receiver
coordenadas de navegación mutalitica,mutalist_nav_coordinates
plano de burston prime,burston_prime_blueprint
manos suaves,soft_hands
punta con resorte cargado,spring_loaded_broadhead
torrente dimensional,rift_torrent
culata de burston prime,burston_prime_stock
espada solitaria,sword_alone
recarga táctica,tactical_reload
plano de hikou prime,hikou_prime_blueprint
gas lacrimógeno,tear_gas
desliz de cargador prime,primed_slip_magazine
refugio,shelter
cruz géminis,gemini_cross
rotura,rupture
casco vanguard arcano,arcane_vanguard_helmet
acelerante fomoré,fomorian_accelerant
flujo prime,primed_flow
plano de imperator vándalo,imperator_vandal_blueprint
mutación de munición de pistola prime,primed_pistol_ammo_mutation
casco pendragon arcano,arcane_pendragon_helmet
veritux prisma,prisma_veritux
resonancia,resonance
diana balística,ballistic_bullseye
plano de volt prime,volt_prime_blueprint
navegador perforante,piercing_navigator
escena del laboratorio de alad v de la ciudad gaseosa,gas_city_alads_laboratory_scene
fuerza magnum,magnum_force
expeler corpus,expel_corpus
plano de chasis de ember prime,ember_prime_chassis_blueprint
ritmo arcano,arcane_tempo
lente madurai,madurai_lens
lente unairu,unairu_lens
derivación astuta,cunning_drift
derivación resistente,endurance_drift
enlace mermador,abating_link
derivación poderosa,power_drift
derivación rápida,speed_drift
erupción sagrada,hallowed_eruption
derivación sigilosa,stealth_drift
plano de chasis de rhino prime,rhino_prime_chassis_blueprint
filo cortante,cutting_edge
metralla de hierro,iron_shrapnel
set de akbronco prime,akbronco_prime_set
propagación contagiosa,contagious_spread
agilidad arcana,arcane_agility
rugido perforante,piercing_roar
set de carrier prime,carrier_prime_set
invisibilidad silenciosa,hushed_invisibility
set de dakra prime,dakra_prime_set
enjambre robador,pilfering_swarm
piel de diamante,diamond_skin
set de dera vándalo,dera_vandal_set
secuencia tóxica,toxic_sequence
plano de latron fantasma,latron_wraith_blueprint
receptor de latron fantasma,latron_wraith_receiver
culata de latron fantasma,latron_wraith_stock
set de latron fantasma,latron_wraith_set
agresión territorial,territorial_aggression
rasguño,swipe
precipitarse,pounce
garras afiladas,sharpened_claws
enlace de vipers gemelas fantasma,twin_vipers_wraith_link
receptores de vipers gemelas fantasma,twin_vipers_wraith_receivers
set de vipers gemelas fantasma,twin_vipers_wraith_set
radar enemigo,enemy_radar
plano de chasis de nekros prime,nekros_prime_chassis_blueprint
guardaespaldas arcano,arcane_bodyguard
cargador primario arcano,arcane_primary_charger
ímpetu rápido,swift_momentum
disciplina de combate,combat_discipline
cargador de hoja arcano,arcane_blade_charger
guía de cuerpo a cuerpo,melee_guidance
plano de chasis de atlas prime,atlas_prime_chassis_blueprint
caparazón de dethcube prime,dethcube_prime_carapace
cerebro de dethcube prime,dethcube_prime_cerebrum
guante de tekko prime,tekko_prime_gauntlet
plano de dethcube prime,dethcube_prime_blueprint
set de dethcube prime,dethcube_prime_set
filo glacial,glacial_edge
destructor de órganos,organ_shatter
plano de sistemas de limbo prime,limbo_prime_systems_blueprint
tiempo de ejecución,runtime
pega y corre,hit_and_run
plano de neurópticas de ivara prime,ivara_prime_neuroptics_blueprint
plano de chasis de ivara prime,ivara_prime_chassis_blueprint
plano de sistemas de ivara prime,ivara_prime_systems_blueprint
plano de baza prime,baza_prime_blueprint
set de baza prime,baza_prime_set
set de aksomati prime,aksomati_prime_set
enlace de aksomati prime,aksomati_prime_link
culata de baza prime,baza_prime_stock
receptor de aksomati prime,aksomati_prime_receiver
empuñadura de gram prime,gram_prime_handle
alcance prime,primed_reach
incensario protector,warding_thurible
plano de helios prime,helios_prime_blueprint
velocidad terminal,terminal_velocity
tormenta de hielo,ice_storm
ciclón kraken,cyclone_kraken
receptor de karak fantasma,karak_wraith_receiver
disco de orvius,orvius_disc
lente vazarin,vazarin_lens
garra penetrante,sinking_talon
conversión de salud,health_conversion
espiral de reflejo,reflex_coil
receptor de vasto prime,vasto_prime_receiver
salto ardiente,searing_leap
detector de saqueo,loot_detector
bastilla duradera,repelling_bastille
balas de punta hueca,hollowed_bullets
plano de motores de scimitar,scimitar_engines_blueprint
embestida férrea,ironclad_charge
escena de la unión del velo,veils_binding_scene
conducción del mago,magus_drive
recarga rápida,quick_reload
fiebre de cepa,strain_fever
experto en archcañones,archgun_ace
pila loca,mad_stack
virulencia abarrotada,teeming_virulence
escena de fortuna,fortuna_scene
ornamento de tipedo prime,tipedo_prime_ornament
receptor de stradavar prime,stradavar_prime_receiver
cañón de snipetron vándalo,snipetron_vandal_barrel
casco scorpion arcano,arcane_scorpion_helmet
cerebro de wyrm prime,wyrm_prime_cerebrum
vista vivaz,spry_sights
receptor de objetivo,targeting_receptor
escultura ayatan valana,ayatan_valana_sculpture
perdición de los infestados,bane_of_infested
toque eléctrico,shocking_touch
cañón de cyngas,cyngas_barrel
potenciador de carrera,sprint_boost
culata de cyngas,cyngas_stock
jabalina furiosa,furious_javelin
plano de lex prime,lex_prime_blueprint
penumbra drenadora,draining_gloom
escena de refinería elemental de la ciudad gaseosa,gas_city_elemental_refinement_scene
fuego infernal,hellfire
munición de precisión,precision_munition
blindaje de argón,argon_plating
llave del vacío corpus,corpus_void_key
set de hikou prime,hikou_prime_set
buscador,seeker
impacto de magma,molten_impact
empuñadura de orthos prime,orthos_prime_handle
hoja de reaper prime,reaper_prime_blade
golpe desgarrador,rending_strike
reserva de munición,ammo_stock
autodestrucción,self_destruct
cámara con resorte,spring_loaded_chamber
explosión acelerada,accelerated_blast
plano de scindo prime,scindo_prime_blueprint
proyectil viciado,tainted_shell
verdad aguijoneadora,stinging_truth
cargador de repetición,repeater_clip
golpe mortal,killing_blow
catalizador incrustado,embedded_catalyzer
cámara de magma,magma_chamber
rebote,rebound
golpe de descarga,discharge_strike
casco storm arcano,arcane_storm_helmet
alcance,reach
blindaje anti-aéreo,anti_flak_plating
azurita cortada,tear_azurite
mod agrietado de escopeta (velado),shotgun_riven_mod_(veiled)
cadencia del mago,magus_cadence
valentía de exodia,exodia_brave
caza de exodia,exodia_hunt
triunfo de exodia,exodia_triumph
vigorización del mago,magus_nourish
sombra virtuosa,virtuos_shadow
plano de sistemas de ember prime,ember_prime_systems_blueprint
plano de chasis de frost prime,frost_prime_chassis_blueprint
plano de sistemas de rhino prime,rhino_prime_systems_blueprint
plano de ember prime,ember_prime_blueprint
plaga erosionante,eroding_blight
secuencia mortal,deadly_sequence
golpe de fiebre,fever_strike
cargador aserrado,sawtooth_clip
casco essence arcano,arcane_essence_helmet
casco locust arcano,arcane_locust_helmet
ritmo regio,tempo_royale
sentirum radián,radian_sentirum
gorgon prisma,prisma_gorgon
tormenta cerebral,brain_storm
pleno mediodía,high_noon
justicia dispersa,scattered_justice
marea brutal,brutal_tide
nube embudo,funnel_clouds
plano de ash prime,ash_prime_blueprint
receptor de decurión,decurion_receiver
plaga tóxica,toxic_blight
plano de collar kavasa prime de kubrow,kavasa_prime_kubrow_collar_blueprint
estrella ayatan cian,ayatan_cyan_star
aceleración fatal,fatal_acceleration
cañón de phaedra,phaedra_barrel
el saber del ladrón,thiefs_wit
guante izquierdo de furax fantasma,furax_wraith_left_gauntlet
proeza cuerpo a cuerpo,melee_prowess
estrella ayatan ámbar,ayatan_amber_star
parálisis prolongada,prolonged_paralysis
mod agrietado de rifle (velado),rifle_riven_mod_(veiled)
disparo artillero,flak_shot
seguimiento atravesado,follow_through
agarre rápido,quickdraw
provocación del guardián,guardian_derision
avalancha glacial,icy_avalanche
triangulador de frecuencia vay hek,vay_hek_frequency_triangulator
mina de traumatismo,whiplash_mine
odomédico,odomedic
chorro de protón,proton_jet
sobreescritura de seguridad,security_override
amparo de la grieta,rift_haven
machete fantasma,machete_wraith
protección,safeguard
prova vándalo,prova_vandal
camino de estatuas,path_of_statues
nube de contagio,contagion_cloud
set de reaper prime,reaper_prime_set
resplandor inmolado,immolated_radiance
plano de vauban prime,vauban_prime_blueprint
caparazón de carrier prime,carrier_prime_carapace
capacidad completa,full_capacity
descarga magnetizada,magnetized_discharge
plano de ankyros prime,ankyros_prime_blueprint
escena de la tumba de inaros,inaros_tomb_scene
cañón de boar prime,boar_prime_barrel
plano de chasis de oberon prime,oberon_prime_chassis_blueprint
preparar y recargar,lock_and_load
escena de estadio lunaro,lunaro_arena_scene
hoja de silva & aegis prime,silva_and_aegis_prime_blade
guardián arcano,arcane_guardian
plano de boltor prime,boltor_prime_blueprint
desviación rápida,fast_deflection
set de sybaris prime,sybaris_prime_set
plano de sistemas de oberon prime,oberon_prime_systems_blueprint
receptor de baza prime,baza_prime_receiver
castiga infestados prime,primed_smite_infested
cañón de shedu,shedu_barrel
receptor de shedu,shedu_receiver
castiga corpus prime,primed_smite_corpus
escena de la fuente consciente,sentient_fountain_scene
set de shedu,shedu_set
chasis de shedu,shedu_chassis
camuflaje del vacío,void_cloak
cambio de escuadrón,squad_renew
densidad de sección,section_density
quemadura de flujo,flow_burn
alzamiento fugaz,surging_dash
director de orquesta,conductor
látigo garra acumulativo,accumulating_whipclaw
noctrul corazón,heart_noctrul
repetidor fotónico,photon_repeater
set de redeemer prime,redeemer_prime_set
cartucho hipotérmico,hypothermic_shell
ojiva,warhead
estaciones de batalla,battle_stations
contramedidas,countermeasures
forja de sangre,blood_forge
sobrecarga de balefire,balefire_surge
escena de la cuenca consciente,sentient_basin_scene
escena de balcón consciente,sentient_balcony_scene
arrullo eterno,endless_lullaby
acelerador del mago,magus_accelerant
plano de galatine prime,galatine_prime_blueprint
as en el aire,aerial_ace
disparo energizante,energizing_shot
planeo anclado,anchored_glide
peine ponzoñoso,venomous_clip
cañón de dera vándalo,dera_vandal_barrel
contrapeso,counterweight
granada antigravedad,anti_grav_grenade
breve respiro,brief_respite
set de orthos prime,orthos_prime_set
asalto histérico,hysterical_assault
arranque versado,adept_surge
frenesí de gorgon,gorgon_frenzy
set de volt prime,volt_prime_set
devar esher,esher_devar
plano de neurópticas de banshee prime,banshee_prime_neuroptics_blueprint
pulso eléctrico,electro_pulse
neutralizar,neutralize
recuperar,retrieve
receptor de imperator vándalo,imperator_vandal_receiver
lecta secura,secura_lecta
sistemas de amesha,amesha_systems_blueprint
alas de amesha,amesha_wings_blueprint
arnés amesha,amesha_harness_blueprint
set de amesha,amesha_set
arnés elytron,elytron_harness_blueprint
set de elytron,elytron_set
plano de sistemas itzal,itzal_systems_blueprint
plano de alas itzal,itzal_wings_blueprint
plano de arnés itzal,itzal_harness_blueprint
set de itzal,itzal_set
escultura ayatan vaya,ayatan_vaya_sculpture
mod de aumento de la secuencia perrín,the_perrin_sequence_augment_mod
mod de aumento de nuevo loka,new_loka_augment_mod
mod de aumento de árbitros de hexis,arbiters_of_hexis_augment_mod
encanto,charm
ojo de gato,cats_eye
botiquín de mascota,medi_pet_kit
empuñadura de reaper prime,reaper_prime_handle
cañón de sicarus prime,sicarus_prime_barrel
cañón de braton prime,braton_prime_barrel
llamas purificadoras,purifying_flames
sobrecargado,overcharged
alas elytron,elytron_wings_blueprint
travesura,mischief
set de tigris prime,tigris_prime_set
cargador de escudo,shield_charger
daga oscura rakta,rakta_dark_dagger
descarga estática,static_discharge
umbral de dolor,pain_threshold
cuerda de paris prime,paris_prime_string
desvío de doble cañón,double_barrel_drift
plano de gorgon fantasma,gorgon_wraith_blueprint
mira de argón,argon_scope
desaparición explosiva,explosive_demise
receptor de sicarus prime,sicarus_prime_receiver
plano de motores de mantis,mantis_engines_blueprint
disparo certero,sure_shot
hoja de glaive prime,glaive_prime_blade
alcance debilitante,sapping_reach
set de karak fantasma,karak_wraith_set
set de fragor prime,fragor_prime_set
derviche carmesí,crimson_dervish
plano de akstiletto prime,akstiletto_prime_blueprint
cañón de akstiletto prime,akstiletto_prime_barrel
congelador,deep_freeze
receptor de akstiletto prime,akstiletto_prime_receiver
físico,physique
receptor de akbolto prime,akbolto_prime_receiver
pala superior de paris prime,paris_prime_upper_limb
plano de akbolto prime,akbolto_prime_blueprint
plano de silva & aegis prime,silva_and_aegis_prime_blueprint
hoja de scindo prime,scindo_prime_blade
cañón de euphona prime,euphona_prime_barrel
plano de mag prime,mag_prime_blueprint
plano de furax fantasma,furax_wraith_blueprint
plano de sistemas de frost prime,frost_prime_systems_blueprint
resorte helado,ice_spring
impacto devastador,shattering_impact
transformador mórfico,morphic_transformer
cerebro de helios prime,helios_prime_cerebrum
pala inferior de paris prime,paris_prime_lower_limb
triple disparo,triple_tap
rapaz maliciosa,malicious_raptor
escudo de sombras,shield_of_shadows
punta hueca,hollow_point
ataque duradero,enduring_strike
quemadura secuencial,sequence_burn
plano de fuselaje de xiphos,xiphos_fuselage_blueprint
plano de fuselaje de mantis,mantis_fuselage_blueprint
municiones de hoja,bladed_rounds
despedazar,shred
plano de aviónica de mantis,mantis_avionics_blueprint
sierra,serration
curación arcana,arcane_healing
plano de fuselaje de scimitar,scimitar_fuselage_blueprint
devolución rápida,quick_return
pararrayos,lightning_rod
calor arcano,arcane_warmth
carga de acero,steel_charge
ira,rage
picor duradero,lasting_sting
magistar sancti,sancti_magistar
aura de pem,emp_aura
haces pacificadores,pacifying_bolts
fibra de metal,metal_fiber
amplificador de energía,energy_amplifier
venari guardaespaldas,venari_bodyguard
troyano virtuoso,virtuos_trojan
drenaje cegador,blinding_reave
abrigo del terror,dread_ward
grinlok prisma,prisma_grinlok
plano de chasis de equinox prime,equinox_prime_chassis_blueprint
plano de stradavar prime,stradavar_prime_blueprint
marelok vaykor,vaykor_marelok
balas cortantes,serrated_rounds
plano de motores de xiphos,xiphos_engines_blueprint
plano de neurópticas de titania prime,titania_prime_neuroptics_blueprint
hoja de pangolín prime,pangolin_prime_blade
set de pangolín prime,pangolin_prime_set
plano de titania prime,titania_prime_blueprint
reductor revo,revo_reducer
bisturí consciente,sentient_scalpel
set de titania prime,titania_prime_set
tribunal,tribunal
catapulta,catapult
pillaje flameante,blazing_pillage
cosecha de encantamientos,spellbound_harvest
velocidad de crucero,cruising_speed
disparo optimizado de artillería frontal,artillery_cheap_shot
velocidad de torreta,turret_velocity
disparo optimizado de artillería,ordnance_cheap_shot
calibrar la ballesta,ballista_measure
fijación rápida,quicklock
velocidad de artillería,ordnance_velocity
limpieza de grineer prime,primed_cleanse_grineer
limpieza de infestados prime,primed_cleanse_infested
limpieza de corpus prime,primed_cleanse_corpus
limpieza de orokin prime,primed_cleanse_corrupted
mutación abundante,abundant_mutation
rondas vertiginosas,dizzying_rounds
esporas reveladoras,revealing_spores
enfurecida,enraged
montón de escombros,rubble_heap
golpe de precisión,precision_strike
maniobras mortales,deadly_maneuvers
plano de banshee prime,banshee_prime_blueprint
recarga escalofriante,chilling_reload
forma aerodinámica,streamlined_form
contacto a la deriva,drifting_contact
plano de chasis de valkyr prime,valkyr_prime_chassis_blueprint
munición criogénica prime,primed_cryo_rounds
set de centauro,centaur_set
set de onorix,onorix_set
set de agkuza,agkuza_set
regreso curativo,healing_return
set de corvas,corvas_set
pisotón reforzante,reinforcing_stomp
set de rathbone,rathbone_set
combinación implacable,relentless_combination
plano de cernos prime,cernos_prime_blueprint
pala inferior de cernos prime,cernos_prime_lower_limb
pala superior de cernos prime,cernos_prime_upper_limb
empuñadura de cernos prime,cernos_prime_grip
sobrecarga de condición,condition_overload
tempestad viral,viral_tempest
sobrecarga de asesinatos,dispatch_overdrive
tribulación perdurable,enduring_affliction
carroñero de pistola,pistol_scavenger
set de wyrm prime,wyrm_prime_set
núcleo de transmutación naramon,naramon_transmute_core
núcleo de transmutación vazarin,vazarin_transmute_core
reminiscencia vengativa,vengeful_revenant
autopsia astral,astral_autopsy
escena de la sala del consejo de ergo,ergos_boardroom_scene
objetivo ágil,agile_aim
anticipación,anticipation
escena de las llanuras de eidolon,plains_of_eidolon_scene
disparo triturador,shred_shot
cañón de burston prime,burston_prime_barrel
impedancia de onda de hielo,ice_wave_impedance
plano de sistemas de volt prime,volt_prime_systems_blueprint
hoja de dakra prime,dakra_prime_blade
disco de glaive prime,glaive_prime_disc
escultura ayatan ayr,ayatan_ayr_sculpture
estirar,stretch
protector de agkuza,agkuza_guard
intensificación,intensify
ojiva pesada,heavy_warhead
culata de karak fantasma,karak_wraith_stock
núcleo de transmutación madurai,madurai_transmute_core
bombardeo tóxico,toxic_barrage
superpredador,apex_predator
mutación de munición de escopeta,shotgun_ammo_mutation
victoria calculada,calculated_victory
propulsores hiperión,hyperion_thrusters
impedancia infestada,infested_impedance
plano de sistemas de hydroid prime,hydroid_prime_systems_blueprint
instinto animal prime,primed_animal_instinct
domo estrangulador robador,pilfering_strangledome
pulso de protón,proton_pulse
escena de elevadores de la ciudad gaseosa,gas_city_lifts_scene
escena de canícula,dog_days_scene
accionador de onda de choque,shockwave_actuators
asimilar,assimilate
set de glaive prime,glaive_prime_set
set de scindo prime,scindo_prime_set
boltace telos,telos_boltace
receptor de latron prime,latron_prime_receiver
culata de latron prime,latron_prime_stock
cañón de lex prime,lex_prime_barrel
escena de fábrica del bosque grineer,grineer_forest_factory_scene
nyth corazón,heart_nyth
ofensiva impenetrable,impenetrable_offense
escena del paisaje de datos de suda,sudas_datascape_scene
receptor de sybaris prime,sybaris_prime_receiver
escudo tambaleante,staggering_shield
set de akstiletto prime,akstiletto_prime_set
set de stropha,stropha_set
set de velox,velox_set
cañón de stahlta,stahlta_barrel
set de stahlta,stahlta_set
receptor de velox,velox_receiver
hoja de stropha,stropha_blade
receptor de stahlta,stahlta_receiver
receptor de stropha,stropha_receiver
culata de stropha,stropha_stock
cañón de stropha,stropha_barrel
culata de stahlta,stahlta_stock
cañón de velox,velox_barrel
escena de hangar de nave corpus,corpus_ship_hangar_scene
escena de puente de nave corpus,corpus_ship_bridge_scene
escena de cañón orbital de nave corpus,corpus_ship_orbital_cannon_scene
glaxion vándalo,glaxion_vandal
cañón revestido de rubedo prime,primed_rubedo_lined_barrel
set de inaros prime,inaros_prime_set
plano de chasis de inaros prime,inaros_prime_chassis_blueprint
plano de neurópticas de inaros prime,inaros_prime_neuroptics_blueprint
plano de inaros prime,inaros_prime_blueprint
plano de sistemas de inaros prime,inaros_prime_systems_blueprint
culata de panthera prime,panthera_prime_stock
empuñadura de karyst prime,karyst_prime_handle
set de karyst prime,karyst_prime_set
set de panthera prime,panthera_prime_set
cañón de panthera prime,panthera_prime_barrel
receptor de panthera prime,panthera_prime_receiver
plano de panthera prime,panthera_prime_blueprint
plano de karyst prime,karyst_prime_blueprint
hoja de karyst prime,karyst_prime_blade
suministro del vigilante,vigilante_supplies
ruina aplastante,crushing_ruin
culata de braton prime,braton_prime_stock
plano de dakra prime,dakra_prime_blueprint
intolerante,narrow_minded
plano de aviónica de xiphos,xiphos_avionics_blueprint
postura sólida,stand_ground
plano de glaive prime,glaive_prime_blueprint
rompeobjetivos prime,primed_target_cracker
reflejo de desenfundado,reflex_draw
enlace de akstiletto prime,akstiletto_prime_link
perdición de los orokin,bane_of_corrupted
escena del paisaje de datos de hunhow,hunhows_datascape_scene
mutilar,maim
plano de oberon prime,oberon_prime_blueprint
saqueador,looter
mutación de munición de pistola,pistol_ammo_mutation
picadura venenosa,poisonous_sting
escena del templo de harrow,harrows_temple_scene
escena del retiro de amaryn,amaryns_retreat_scene
escena de tono de color,color_key_scene
set de phaedra,phaedra_set
cuerda de cernos prime,cernos_prime_string
set de cernos prime,cernos_prime_set
plano de valkyr prime,valkyr_prime_blueprint
set de valkyr prime,valkyr_prime_set
hoja de venka prime,venka_prime_blades
cazarrecompensas,bounty_hunter
objetivo adquirido,target_acquired
buscacorazones,heartseeker
compañero leal,loyal_companion
furia marcial,martial_fury
juicio decisivo,decisive_judgement
espira giratoria,twirling_spire
energía auxiliar,auxiliary_power
plano de lente eidolon,eidolon_lens_blueprint
garra reluciente,gleaming_talon
husmear,scavenge
pistolero,gunslinger
serpenteo rompedor,sundering_weave
municiones empaladoras,impaler_munitions
renovación del fénix,phoenix_renewal
cartucho eléctrico,shell_shock
estallido de larva,larva_burst
torbellino cortante,cleaving_whirlwind
dispersión de multitudes,crowd_dispersion
receptor de cyngas,cyngas_receiver
plano de odonata prime,odonata_prime_blueprint
justicia ciega,blind_justice
contacto total,full_contact
rayo curativo,medi_ray
escudo electromagnético,electromagnetic_shielding
set de imperator vándalo,imperator_vandal_set
postcombustión,afterburner
gambito de pistola prime,primed_pistol_gambit
hek vaykor,vaykor_hek
cañón hidráulico,hydraulic_barrel
plano de neurópticas de saryn prime,saryn_prime_neuroptics_blueprint
hoja de nami skyla prime,nami_skyla_prime_blade
empuñadura de kronen prime,kronen_prime_handle
delicadeza del gladiador,gladiator_finesse
alcance de augurio,augur_reach
sacrificio,sacrifice
rastreo del cazador,hunter_track
orden del cazador,hunter_command
receptor de boar prime,boar_prime_receiver
baliza omega,omega_beacon
muda regenerativa,regenerative_molt
culata de boar prime,boar_prime_stock
cañón de gorgon fantasma,gorgon_wraith_barrel
bota de kogake prime,kogake_prime_boot
set de akbolto prime,akbolto_prime_set
enlace de akbolto prime,akbolto_prime_link
cañón de akbolto prime,akbolto_prime_barrel
plano de braton vándalo,braton_vandal_blueprint
set de limbo prime,limbo_prime_set
mazo particionado,partitioned_mallet
xenorhast trapezoidal,trapezium_xenorhast
jugo,juice
tórax de saxum,saxum_thorax
punto de presión necramech,necramech_pressure_point
vitalidad necramech,necramech_vitality
mordida drenadora,draining_bite
estela necramech,necramech_slipstream
sinovia ácida,acidic_spittle
vector endoparasitario,endoparasitic_vector
propulsores necramech,necramech_thrusters
cápsula de arma de necramech dañada,damaged_necramech_weapon_pod
tiametrita facetada,faceted_tiametrite
motor de necramech dañado,damaged_necramech_engine
amo de los aterrizajes,bomb_the_landin
escultura ayatan sah,ayatan_sah_sculpture
mod de aumento de velo rojo,red_veil_augment_mod
aspecto engañoso,cunning_aspect
reflejar,reflect
viento desgarrador,rending_wind
receptor de corvas,corvas_receiver
cadencia honorable,noble_cadence
cartuchos termomagnéticos,thermagnetic_shells
culata de corvas,corvas_stock
rebote cinético,kinetic_ricochet
conducta mortal,mortal_conduct
bloquear,parry
plano de sicarus prime,sicarus_prime_blueprint
set de gorgon fantasma,gorgon_wraith_set
habilidad creciente,rising_skill
aplastar fracturado,fracturing_crush
plano de fang prime,fang_prime_blueprint
remate radiante,radiant_finish
ferocidad,ferocity
set de xiphos,xiphos_set
alto voltaje,high_voltage
plano de chasis de vauban prime,vauban_prime_chassis_blueprint
barrera recargada,recharge_barrier
rumbo de templanza,tempered_bound
aceleración concentrada,focused_acceleration
fuerza de colisión,collision_force
plano de latron prime,latron_prime_blueprint
plano de braton prime,braton_prime_blueprint
boca de dragón contaminada,defiled_snapdragon
empuñadura de nikana prime,nikana_prime_hilt
reponerse,recuperate
set de nikana prime,nikana_prime_set
sentido vital,vital_sense
plano de sistemas de valkyr prime,valkyr_prime_systems_blueprint
set de cyngas,cyngas_set
set de broken war,broken_war_set
guante de venka prime,venka_prime_gauntlet
set de kaszas,kaszas_set
set de velocitus,velocitus_set
set de fluctus,fluctus_set
set de decuriones dobles,dual_decurion_set
ojos anchos,broad_eye
secuencia voltaica,voltage_sequence
plano de akbronco prime,akbronco_prime_blueprint
munición criogénica,cryo_rounds
batería silenciosa,silent_battery
receptor de phaedra,phaedra_receiver
receptor de euphona prime,euphona_prime_receiver
fortaleza transitoria,transient_fortitude
munición conmocionante,concussion_rounds
aullido,howl
empuñadura de agkuza,agkuza_handle
sistemas de carrier prime,carrier_prime_systems
letalidad encubierta,covert_lethality
flechas emplumadas,feathered_arrows
capacidad cargada,loaded_capacity
cámara suelta,loose_chamber
evasión blindada,armored_evade
nano-aplicador,nano_applicator
defensa focalizada,focused_defense
ordenanza guiada,guided_ordnance
plano de strun fantasma,strun_wraith_blueprint
retumbo titánico,titanic_rumbler
plano de spira prime,spira_prime_blueprint
set de spira prime,spira_prime_set
hoja de sheev,sheev_blade
disipador de sheev,sheev_heatsink
set de sheev,sheev_set
retumbador,rumbled
plano de snipetron vándalo,snipetron_vandal_blueprint
sierrahueso del cazador,hunters_bonesaw
cañón de velocitus,velocitus_barrel
resistencia a las toxinas,toxin_resistance
set de nami skyla prime,nami_skyla_prime_set
set de kronen prime,kronen_prime_set
sistemas de helios prime,helios_prime_systems
ampliar,extend
golpe de fiebre prime,primed_fever_strike
contagio de exodia,exodia_contagion
set de tiberon prime,tiberon_prime_set
epidemia de exodia,exodia_epidemic
plano de sistemas de mirage prime,mirage_prime_systems_blueprint
plano de mirage prime,mirage_prime_blueprint
agarre rápido prime,primed_quickdraw
recarga de mecha,mecha_recharge
fibra de sintetizador,synth_fiber
silenciar,hush
cabeza de fragor prime,fragor_prime_head
pisotear,trample
taladro metálico,metal_auger
maestro ladrón,master_thief
criorevestimiento,cryo_coating
masa explosiva,bursting_mass
set de tipedo prime,tipedo_prime_set
acero verdadero,true_steel
cuatro jinetes,four_riders
plano de vectis prime,vectis_prime_blueprint
instinto animal,animal_instinct
haz de combustión,combustion_beam
mira harkonar,harkonar_scope
escena de pasarela de la ciudad gaseosa,gas_city_walkway_scene
escena de salón sin salida de la ciudad gaseosa,gas_city_dead_exit_scene
aerodinámico,aerodynamic
set de atlas prime,atlas_prime_set
hoja de tekko prime,tekko_prime_blade
set de tekko prime,tekko_prime_set
plano de tekko prime,tekko_prime_blueprint
redirección necramech,necramech_redirection
cañón de arma de necramech dañado,damaged_necramech_weapon_barrel
set de arma de necramech dañado,damaged_necramech_weapon_set
receptor de arma de necramech dañado,damaged_necramech_weapon_receiver
mordida infecciosa,infectious_bite
esporas paralíticas,paralytic_spores
regresión medialuna,crescent_devolution
regresión panzer,panzer_devolution
polinización anabólica,anabolic_pollination
estilo primo,primo_flair
púas de jugulus,jugulus_barbs
caparazón de saxum,saxum_carapace
combate duro,hard_engage
rastro de vapor,vapor_trail
sinovia de saxum,saxum_spittle
culata de arma de necramech dañada,damaged_necramech_weapon_stock
alcance necramech,necramech_reach
continuidad necramech,necramech_continuity
embolos cabujón,cabochon_embolos
fibra de acero necramech,necramech_steel_fiber
espinas de jugulus,jugulus_spines
set de necramech dañado,damaged_necramech_set
hecifronita purificada,purified_heciphron
púas virales,viral_quills
mandíbula de carnis,carnis_mandible
cápsula de necramech dañada,damaged_necramech_pod
reabastecimiento necramech,necramech_refuel
aguijón de carnis,carnis_stinger
carga creciente,crescent_charge
instinto de supervivencia,survival_instinct
escena subterránea de deimos,deimos_underground_scene
escena de deriva cambion de deimos,deimos_cambion_drift_scene
plano de nezha prime,nezha_prime_blueprint
plano de guandao prime,guandao_prime_blueprint
combo de asesinato,combo_killer
pacto de esclavo,thrall_pact
sobrecarga crítica,critical_surge
teorema emoliente,theorem_demulcent
plano de sporothrix,sporothrix_blueprint
eficiencia necramech,necramech_efficiency
teorema de infección,theorem_infection
plano de arum spinosa,arum_spinosa_blueprint
devolución rápida volátil,volatile_quick_return
garras rebanadoras,blending_talons
protector de arum spinosa,arum_spinosa_guard
set de arum spinosa,arum_spinosa_set
set de sporothrix,sporothrix_set
choque residual,residual_shock
tormenta de fuego prime,primed_firestorm
fulminación prime,primed_fulmination
set de bonewidow,bonewidow_set
cápsula de arma de bonewidow,bonewidow_weapon_pod
cubierta de bonewidow,bonewidow_casing
