ch_tra,slug
震地共鳴,resonating_quake
多流抽擊,flailing_branch
結霜侵蝕,frostbite
集氣城中央降落場景,gas_city_central_drop_scene
月球 unairu 晶體,lua_unairu_lens
牧羊人,shepherd
orokin 高塔撤離點場景,orokin_tower_extraction_scene
致命效率,deadly_efficiency
正直熔爐,virtuos_forge
瓦斯托雙槍 prime 藍圖,akvasto_prime_blueprint
瓦斯托雙槍 prime 連接器,akvasto_prime_link
毒染套管,contamination_casing
onkko 的指揮所場景,onkkos_command_post_scene
通量射線超載,flux_overdrive
奧努里克斯 刀刃,onorix_blade
凱旋之爪 prime 一套,venka_prime_set
消音,suppress
目標入定,target_fixation
磁浮,maglev
淨化 grineer,cleanse_grineer
加劇反射,heightened_reflexes
狩獵,hunt
歐特魯斯 prime 藍圖,orthos_prime_blueprint
惡怨殿堂,hall_of_malevolence
毀滅 grineer,smite_grineer
烈焰風暴,firestorm
滅亡 corpus,bane_of_corpus
狂戰暴怒,berserker_fury
激奮剝奪,rousing_plunder
鬆弛彈匣,loose_magazine
生命狩獵,life_strike
翻筋斗,handspring
帕里斯 prime 弓身,paris_prime_grip
幸運射擊,lucky_shot
帶電槍管,electrified_barrel
極限彈容,maximum_capacity
救星誘餌,savior_decoy
纏旋風切,stalking_fan
滅亡 orokin prime,primed_bane_of_corrupted
保溫服,warm_coat
腐敗彈匣,tainted_mag
戰術性撤退,tactical_retreat
光明純淨,bright_purity
冰冷疾風,frigid_blast
破片彈頭,shrapnel_rounds
血色刃緣,bleeding_edge
和平追蹤者,pax_seeker
mesa prime 藍圖,mesa_prime_blueprint
equinox prime 頭部神經光元 藍圖,equinox_prime_neuroptics_blueprint
救贖者 prime 藍圖,redeemer_prime_blueprint
正直尖刺,virtuos_spike
提佩多 prime 藍圖,tipedo_prime_blueprint
鋸齒邊緣,serrated_edges
火焰防護,flame_repellent
量子切割器 破壞者,quanta_vandal
苦痛 德特昂,mara_detron
減震器,shock_absorbers
野馬 prime 槍機,bronco_prime_receiver
異融 alad v 導航坐標,mutalist_nav_coordinates
伯斯頓 prime 藍圖,burston_prime_blueprint
精湛快手,soft_hands
簧壓獵箭,spring_loaded_broadhead
裂隙洪流,rift_torrent
伯斯頓 prime 槍托,burston_prime_stock
一劍在手,sword_alone
機動裝填,tactical_reload
飛揚 prime 藍圖,hikou_prime_blueprint
催淚毒霧,tear_gas
串聯彈匣 prime,primed_slip_magazine
庇護,shelter
縱橫雙子,gemini_cross
破裂,rupture
先鋒秘奧頭盔,arcane_vanguard_helmet
巨人促進劑,fomorian_accelerant
川流不息 prime,primed_flow
凱旋將軍 破壞者 藍圖,imperator_vandal_blueprint
手槍彈藥轉換 prime,primed_pistol_ammo_mutation
潘德拉岡秘奧頭盔,arcane_pendragon_helmet
棱晶 真理巨劍,prisma_veritux
殘響共鳴,resonance
彈道靶心,ballistic_bullseye
volt prime 藍圖,volt_prime_blueprint
穿刺抛體,piercing_navigator
集氣城 alad 的實驗室場景,gas_city_alads_laboratory_scene
重裝火力,magnum_force
驅逐 corpus,expel_corpus
ember prime 機體 藍圖,ember_prime_chassis_blueprint
節奏賦能,arcane_tempo
madurai 晶體,madurai_lens
unairu 晶體,unairu_lens
狡詐竄升,cunning_drift
堅忍竄升,endurance_drift
耗弱連結,abating_link
力量竄升,power_drift
速度竄升,speed_drift
聖域爆發,hallowed_eruption
匿蹤竄升,stealth_drift
rhino prime 機體 藍圖,rhino_prime_chassis_blueprint
切割刃緣,cutting_edge
碎鐵彈片,iron_shrapnel
野馬雙槍 prime 一套,akbronco_prime_set
傳染蔓延,contagious_spread
靈敏賦能,arcane_agility
刺骨戰吼,piercing_roar
搬運者 prime 一套,carrier_prime_set
靜謐無蹤,hushed_invisibility
達克拉 prime 一套,dakra_prime_set
貪奪觸角,pilfering_swarm
鑽石皮膚,diamond_skin
德拉 破壞者 一套,dera_vandal_set
毒素數列,toxic_sequence
拉特昂 亡魂 藍圖,latron_wraith_blueprint
拉特昂 亡魂 槍機,latron_wraith_receiver
拉特昂 亡魂 槍托,latron_wraith_stock
拉特昂 亡魂 一套,latron_wraith_set
侵略領土,territorial_aggression
揮擊,swipe
猛撲,pounce
磨鋒之爪,sharpened_claws
雙子蝰蛇 亡魂 連接器,twin_vipers_wraith_link
雙子蝰蛇 亡魂 槍機,twin_vipers_wraith_receivers
雙子蝰蛇 亡魂 一套,twin_vipers_wraith_set
偵敵雷達,enemy_radar
nekros prime 機體 藍圖,nekros_prime_chassis_blueprint
衛士賦能,arcane_bodyguard
主武充能賦能,arcane_primary_charger
迅敏動量,swift_momentum
戰鬥教條,combat_discipline
刀刃充能賦能,arcane_blade_charger
近戰指引,melee_guidance
atlas prime 機體 藍圖,atlas_prime_chassis_blueprint
死亡魔方 prime 外殼,dethcube_prime_carapace
死亡魔方 prime 頭部,dethcube_prime_cerebrum
鐵鉤手甲 prime 手套,tekko_prime_gauntlet
死亡魔方 prime 藍圖,dethcube_prime_blueprint
死亡魔方 prime 一套,dethcube_prime_set
冰冷刃緣,glacial_edge
肢解,organ_shatter
limbo prime 系統 藍圖,limbo_prime_systems_blueprint
快閃時間,runtime
打帶跑,hit_and_run
ivara prime 頭部神經光元 藍圖,ivara_prime_neuroptics_blueprint
ivara prime 機體 藍圖,ivara_prime_chassis_blueprint
ivara prime 系統 藍圖,ivara_prime_systems_blueprint
蒼鷹 prime 藍圖,baza_prime_blueprint
蒼鷹 prime 一套,baza_prime_set
輕靈月神雙槍 prime 一套,aksomati_prime_set
輕靈月神雙槍 prime 連接器,aksomati_prime_link
蒼鷹 prime 槍托,baza_prime_stock
輕靈月神雙槍 prime 槍機,aksomati_prime_receiver
格拉姆 prime 握柄,gram_prime_handle
劍風 prime,primed_reach
庇護焚爐,warding_thurible
赫利俄斯 prime 藍圖,helios_prime_blueprint
極限速度,terminal_velocity
冰風暴,ice_storm
颶風海怪,cyclone_kraken
卡拉克 亡魂 槍機,karak_wraith_receiver
靈樞 圓盤,orvius_disc
vazarin 晶體,vazarin_lens
沉沒之爪,sinking_talon
生命轉換,health_conversion
增幅線圈,reflex_coil
瓦斯托 prime 槍機,vasto_prime_receiver
灼熱跳躍,searing_leap
戰利品探測器,loot_detector
持久牢獄,repelling_bastille
中空子彈,hollowed_bullets
scimitar 引擎 藍圖,scimitar_engines_blueprint
鐵甲衝鋒,ironclad_charge
veil 的拘束臺場景,veils_binding_scene
魔導驅動,magus_drive
快速裝填,quick_reload
菌株 病毒,strain_fever
archwing 槍械行家,archgun_ace
瘋狂堆疊,mad_stack
猛爆致病,teeming_virulence
福爾圖娜場景,fortuna_scene
提佩多 prime 飾品,tipedo_prime_ornament
斯特拉迪瓦 prime 槍機,stradavar_prime_receiver
狙擊特昂 破壞者 槍管,snipetron_vandal_barrel
毒蠍秘奧頭盔,arcane_scorpion_helmet
蛟龍 prime 頭部,wyrm_prime_cerebrum
迅敏視覺,spry_sights
目標感應,targeting_receptor
阿耶檀識 valana 塑像,ayatan_valana_sculpture
滅亡 infested,bane_of_infested
電擊觸點,shocking_touch
合成燃氣砲 槍管,cyngas_barrel
衝刺提升,sprint_boost
合成燃氣砲 槍托,cyngas_stock
狂怒標槍,furious_javelin
雷克斯 prime 藍圖,lex_prime_blueprint
幽暗枯竭,draining_gloom
集氣城元素精煉場景,gas_city_elemental_refinement_scene
地獄火,hellfire
精準彈藥,precision_munition
氬晶裝甲,argon_plating
corpus虛空鑰匙,corpus_void_key
飛揚 prime 一套,hikou_prime_set
彈頭導引,seeker
熔岩衝擊,molten_impact
歐特魯斯 prime 握柄,orthos_prime_handle
收割者 prime 刀刃,reaper_prime_blade
撕裂打擊,rending_strike
霰彈擴充,ammo_stock
自爆,self_destruct
簧壓膛室,spring_loaded_chamber
加速衝擊,accelerated_blast
分裂斬斧 prime 藍圖,scindo_prime_blueprint
污穢彈藥,tainted_shell
過激真相,stinging_truth
轉輪彈匣,repeater_clip
一擊必殺,killing_blow
內置觸媒,embedded_catalyzer
熔岩彈膛,magma_chamber
彈跳,rebound
卸能打擊,discharge_strike
風暴秘奧頭盔,arcane_storm_helmet
劍風,reach
抗爆覆甲,anti_flak_plating
淚滴形藍銅礦石,tear_azurite
霰彈槍裂罅 mod （尚未揭開）,shotgun_riven_mod_(veiled)
魔導韻律,magus_cadence
神威勇武,exodia_brave
神威狩獵,exodia_hunt
神威凱旋,exodia_triumph
魔導滋養,magus_nourish
正直暗影,virtuos_shadow
ember prime 系統 藍圖,ember_prime_systems_blueprint
frost prime 機體 藍圖,frost_prime_chassis_blueprint
rhino prime 系統 藍圖,rhino_prime_systems_blueprint
ember prime 藍圖,ember_prime_blueprint
侵蝕毀壞,eroding_blight
致命數列,deadly_sequence
熱病打擊,fever_strike
鋸齒彈鏈,sawtooth_clip
本質秘奧頭盔,arcane_essence_helmet
飛蝗秘奧頭盔,arcane_locust_helmet
皇家節奏,tempo_royale
弧度心智晶核,radian_sentirum
棱晶 蛇髮女妖,prisma_gorgon
頭腦風暴,brain_storm
日正當中,high_noon
散射正義,scattered_justice
殘暴浪潮,brutal_tide
漏斗狀雲,funnel_clouds
ash prime 藍圖,ash_prime_blueprint
什長雙槍 槍機,decurion_receiver
毀壞毒素,toxic_blight
喀婆薩 prime 庫狛項圈 藍圖,kavasa_prime_kubrow_collar_blueprint
阿耶檀識青藍星,ayatan_cyan_star
致死加速,fatal_acceleration
菲德菈 槍管,phaedra_barrel
盜賊天賦,thiefs_wit
弗拉克斯 亡魂 左拳套,furax_wraith_left_gauntlet
非凡技巧,melee_prowess
阿耶檀識琥珀星,ayatan_amber_star
長時癱瘓,prolonged_paralysis
步槍裂罅 mod （尚未揭開）,rifle_riven_mod_(veiled)
高射炮擊,flak_shot
貫徹始終,follow_through
持續火力,quickdraw
奚落守護,guardian_derision
冰冷雪崩,icy_avalanche
vay hek 座標頻率三角儀,vay_hek_frequency_triangulator
牽繩機雷,whiplash_mine
氣息療癒,odomedic
質子 噴射,proton_jet
協議覆蓋,security_override
裂隙避難所,rift_haven
馬謝特 亡魂,machete_wraith
火綾守護,safeguard
普羅沃 破壞者,prova_vandal
化像之道,path_of_statues
感染毒霧,contagion_cloud
收割者 prime 一套,reaper_prime_set
獻祭光環,immolated_radiance
vauban prime 藍圖,vauban_prime_blueprint
搬運者 prime 外殼,carrier_prime_carapace
充量彈容,full_capacity
磁吸釋放,magnetized_discharge
甲龍雙拳 prime 藍圖,ankyros_prime_blueprint
inaros 古墓場景,inaros_tomb_scene
野豬 prime 槍管,boar_prime_barrel
oberon prime 機體 藍圖,oberon_prime_chassis_blueprint
填彈上膛,lock_and_load
月動球競技場場景,lunaro_arena_scene
席瓦 & 神盾 prime 刀刃,silva_and_aegis_prime_blade
保衛者賦能,arcane_guardian
螺釘步槍 prime 藍圖,boltor_prime_blueprint
快速充能,fast_deflection
席芭莉絲 prime 一套,sybaris_prime_set
oberon prime 系統 藍圖,oberon_prime_systems_blueprint
蒼鷹 prime 槍機,baza_prime_receiver
毀滅 infested prime,primed_smite_infested
舍杜 槍管,shedu_barrel
舍杜 槍機,shedu_receiver
毀滅 corpus prime,primed_smite_corpus
sentient 源泉場景,sentient_fountain_scene
舍杜 一套,shedu_set
舍杜 機架,shedu_chassis
虛空斗篷,void_cloak
重整旗鼓,squad_renew
剖面密度,section_density
流焰燒燃,flow_burn
湧流突進,surging_dash
指揮家,conductor
蓄積長鞭,accumulating_whipclaw
心形夜石,heart_noctrul
光子中繼器,photon_repeater
救贖者 prime 一套,redeemer_prime_set
低溫外殼,hypothermic_shell
毀滅彈頭,warhead
戰鬥崗位,battle_stations
反制對策,countermeasures
祭血鍛造,blood_forge
野火洶湧,balefire_surge
sentient 盆地場景,sentient_basin_scene
sentient 樓廳場景,sentient_balcony_scene
永恆搖籃曲,endless_lullaby
魔導觸媒,magus_accelerant
迦倫提恩 prime 藍圖,galatine_prime_blueprint
滯空高手,aerial_ace
振能槍火,energizing_shot
固向翱翔,anchored_glide
惡毒彈匣,venomous_clip
德拉 破壞者 槍管,dera_vandal_barrel
平衡配重,counterweight
反重力榴彈,anti_grav_grenade
快速休整,brief_respite
歐特魯斯 prime 一套,orthos_prime_set
狂化突擊,hysterical_assault
躍浪好手,adept_surge
蛇髮女妖的狂熱,gorgon_frenzy
volt prime 一套,volt_prime_set
伊舍兄弟之石,esher_devar
banshee prime 頭部神經光元 藍圖,banshee_prime_neuroptics_blueprint
電光脈衝,electro_pulse
啃咬壓制,neutralize
嗅索取物,retrieve
凱旋將軍 破壞者 槍機,imperator_vandal_receiver
保障 勒克塔,secura_lecta
amesha 系統,amesha_systems_blueprint
amesha 機翼,amesha_wings_blueprint
amesha 外甲,amesha_harness_blueprint
amesha 一套,amesha_set
elytron 外甲,elytron_harness_blueprint
elytron 一套,elytron_set
itzal 系統 藍圖,itzal_systems_blueprint
itzal 機翼 藍圖,itzal_wings_blueprint
itzal 外甲 藍圖,itzal_harness_blueprint
itzal 一套,itzal_set
阿耶檀識 vaya 塑像,ayatan_vaya_sculpture
佩蘭數列強化mod,the_perrin_sequence_augment_mod
new loka augment mod,new_loka_augment_mod
均衡仲裁者強化mod,arbiters_of_hexis_augment_mod
招福,charm
貓眼,cats_eye
寵物治療套件,medi_pet_kit
收割者 prime 握柄,reaper_prime_handle
暗殺者 prime 槍管,sicarus_prime_barrel
布萊頓 prime 槍管,braton_prime_barrel
淨化烈焰,purifying_flames
能量超載,overcharged
elytron 機翼,elytron_wings_blueprint
頑皮,mischief
猛虎 prime 一套,tigris_prime_set
護盾充能,shield_charger
緋紅 暗黑匕首,rakta_dark_dagger
靜電釋放,static_discharge
痛苦閾值,pain_threshold
帕里斯 prime 弓弦,paris_prime_string
游離雙管,double_barrel_drift
蛇髮女妖 亡魂 藍圖,gorgon_wraith_blueprint
氬晶瞄具,argon_scope
爆散消亡,explosive_demise
暗殺者 prime 槍機,sicarus_prime_receiver
mantis 引擎 藍圖,mantis_engines_blueprint
準確射手,sure_shot
戰刃 prime 刀刃,glaive_prime_blade
蝕能磁觸,sapping_reach
卡拉克 亡魂 一套,karak_wraith_set
重擊巨鎚 prime 一套,fragor_prime_set
赤紅狂舞,crimson_dervish
史提托雙槍 prime 藍圖,akstiletto_prime_blueprint
史提托雙槍 prime 槍管,akstiletto_prime_barrel
深層冷凍,deep_freeze
史提托雙槍 prime 槍機,akstiletto_prime_receiver
體魄,physique
螺釘雙槍 prime 槍機,akbolto_prime_receiver
帕里斯 prime 上弓臂,paris_prime_upper_limb
螺釘雙槍 prime 藍圖,akbolto_prime_blueprint
席瓦 & 神盾 prime 藍圖,silva_and_aegis_prime_blueprint
分裂斬斧 prime 刀刃,scindo_prime_blade
悅音 prime 槍管,euphona_prime_barrel
mag prime 藍圖,mag_prime_blueprint
弗拉克斯 亡魂 藍圖,furax_wraith_blueprint
frost prime 系統 藍圖,frost_prime_systems_blueprint
冰冷躍動,ice_spring
碎裂衝擊,shattering_impact
非晶變壓器,morphic_transformer
赫利俄斯 prime 頭部,helios_prime_cerebrum
帕里斯 prime 下弓臂,paris_prime_lower_limb
三重連擊,triple_tap
惡毒猛禽,malicious_raptor
幽影之護,shield_of_shadows
空尖彈,hollow_point
不朽打擊,enduring_strike
延燒數列,sequence_burn
xiphos 機身 藍圖,xiphos_fuselage_blueprint
mantis 機身 藍圖,mantis_fuselage_blueprint
尖刃彈頭,bladed_rounds
撕裂,shred
mantis 飛航系統 藍圖,mantis_avionics_blueprint
膛線,serration
復原賦能,arcane_healing
scimitar 機身 藍圖,scimitar_fuselage_blueprint
快速收回,quick_return
避雷針,lightning_rod
溫暖賦能,arcane_warmth
鋼鐵充能,steel_charge
狂暴化,rage
未完之刺,lasting_sting
聖潔 執法者,sancti_magistar
電磁脈衝場,emp_aura
撫慰之風,pacifying_bolts
金屬纖維,metal_fiber
能量擴散,energy_amplifier
薇娜麗的護衛,venari_bodyguard
正直特洛伊,virtuos_trojan
致盲掠奪,blinding_reave
恐懼屏障,dread_ward
棱晶 葛恩火槍,prisma_grinlok
equinox prime 機體 藍圖,equinox_prime_chassis_blueprint
斯特拉迪瓦 prime 藍圖,stradavar_prime_blueprint
勇氣 瑪瑞火槍,vaykor_marelok
鋸刃彈頭,serrated_rounds
xiphos 引擎 藍圖,xiphos_engines_blueprint
titania prime 頭部神經光元 藍圖,titania_prime_neuroptics_blueprint
鯪鯉劍 prime 刀刃,pangolin_prime_blade
鯪鯉劍 prime 一套,pangolin_prime_set
titania prime 藍圖,titania_prime_blueprint
銳火減免,revo_reducer
sentient 手術刀,sentient_scalpel
titania prime 一套,titania_prime_set
苦罰裁決,tribunal
碾壓導向,catapult
熾烈掠奪,blazing_pillage
迷塵收割,spellbound_harvest
巡航速度,cruising_speed
巨砲回扣,artillery_cheap_shot
砲塔速度,turret_velocity
火砲回扣,ordnance_cheap_shot
弩砲測距,ballista_measure
迅速鎖定,quicklock
火砲速度,ordnance_velocity
淨化 grineer prime,primed_cleanse_grineer
淨化 infested prime,primed_cleanse_infested
淨化 corpus prime,primed_cleanse_corpus
淨化 orokin prime,primed_cleanse_corrupted
突變增殖,abundant_mutation
暈眩彈頭,dizzying_rounds
暴露孢子,revealing_spores
狂怒爆發,enraged
碎石堆積,rubble_heap
精準打擊,precision_strike
致命機動,deadly_maneuvers
banshee prime 藍圖,banshee_prime_blueprint
激冷裝填,chilling_reload
流線外形,streamlined_form
漂移接觸,drifting_contact
valkyr prime 機體 藍圖,valkyr_prime_chassis_blueprint
低溫彈頭 prime,primed_cryo_rounds
半人馬 一套,centaur_set
奧努里克斯 一套,onorix_set
馴象鉤刃 一套,agkuza_set
治癒歸復,healing_return
黑鴉 一套,corvas_set
踐踏加固,reinforcing_stomp
拉斯波恩 一套,rathbone_set
殘酷組合,relentless_combination
西諾斯 prime 藍圖,cernos_prime_blueprint
西諾斯 prime 下弓臂,cernos_prime_lower_limb
西諾斯 prime 上弓臂,cernos_prime_upper_limb
西諾斯 prime 弓身,cernos_prime_grip
異況超量,condition_overload
病毒暴風,viral_tempest
超速擊殺,dispatch_overdrive
長時苦難,enduring_affliction
手槍彈藥蒐集者,pistol_scavenger
蛟龍 prime 一套,wyrm_prime_set
naramon 轉換核心,naramon_transmute_core
vazarin 轉換核心,vazarin_transmute_core
復仇亡靈,vengeful_revenant
星體解析,astral_autopsy
ergo 的會議室場景,ergos_boardroom_scene
機動瞄準,agile_aim
衝擊預感,anticipation
夜靈平野場景,plains_of_eidolon_scene
撕碎射擊,shred_shot
伯斯頓 prime 槍管,burston_prime_barrel
滯痕冰浪,ice_wave_impedance
volt prime 系統 藍圖,volt_prime_systems_blueprint
達克拉 prime 刀刃,dakra_prime_blade
戰刃 prime 圓盤,glaive_prime_disc
阿耶檀識 ayr 塑像,ayatan_ayr_sculpture
延伸,stretch
馴象鈎刃 護手,agkuza_guard
聚精會神,intensify
重型彈頭,heavy_warhead
卡拉克 亡魂 槍托,karak_wraith_stock
madurai 轉換核心,madurai_transmute_core
毒素彈幕,toxic_barrage
頂級掠食者,apex_predator
霰彈槍彈藥轉換,shotgun_ammo_mutation
算計贏家,calculated_victory
超越推進,hyperion_thrusters
感染阻抗,infested_impedance
hydroid prime 系統 藍圖,hydroid_prime_systems_blueprint
動物本能 prime,primed_animal_instinct
貪奪穹頂,pilfering_strangledome
質子 脈衝,proton_pulse
集氣城升降機場景,gas_city_lifts_scene
三伏天場景,dog_days_scene
震波驅動器,shockwave_actuators
同化,assimilate
戰刃 prime 一套,glaive_prime_set
分裂斬斧 prime 一套,scindo_prime_set
終極 螺釘拐刃,telos_boltace
拉特昂 prime 槍機,latron_prime_receiver
拉特昂 prime 槍托,latron_prime_stock
雷克斯 prime 槍管,lex_prime_barrel
grineer 森林工廠場景,grineer_forest_factory_scene
心形靈息石,heart_nyth
絕壁強攻,impenetrable_offense
蘇達數據景觀場景,sudas_datascape_scene
席芭莉絲 prime 槍機,sybaris_prime_receiver
失衡護盾,staggering_shield
史提托雙槍 prime 一套,akstiletto_prime_set
詭詐鋒刃 一套,stropha_set
迅敏屠夫 一套,velox_set
鋼砲步槍 槍管,stahlta_barrel
鋼砲步槍 一套,stahlta_set
迅敏屠夫槍機,velox_receiver
詭詐鋒刃 刀刃,stropha_blade
鋼砲步槍 槍機,stahlta_receiver
詭詐鋒刃 槍機,stropha_receiver
詭詐鋒刃 槍托,stropha_stock
詭詐鋒刃 槍管,stropha_barrel
鋼砲步槍 槍托,stahlta_stock
迅敏屠夫槍管,velox_barrel
corpus 船艦庫場景,corpus_ship_hangar_scene
corpus 船舶場景,corpus_ship_bridge_scene
corpus 太空軌道砲場景,corpus_ship_orbital_cannon_scene
冷凍光束步槍 破壞者,glaxion_vandal
紅晶槍管 prime,primed_rubedo_lined_barrel
inaros prime 一套,inaros_prime_set
inaros prime 機體 藍圖,inaros_prime_chassis_blueprint
inaros prime 頭部神經光元 藍圖,inaros_prime_neuroptics_blueprint
inaros prime 藍圖,inaros_prime_blueprint
inaros prime 系統 藍圖,inaros_prime_systems_blueprint
獵豹 prime 槍托,panthera_prime_stock
凱洛斯特 prime 握柄,karyst_prime_handle
凱洛斯特 prime 一套,karyst_prime_set
獵豹 prime 一套,panthera_prime_set
獵豹 prime 槍管,panthera_prime_barrel
獵豹 prime 槍機,panthera_prime_receiver
獵豹 prime 藍圖,panthera_prime_blueprint
凱洛斯特 prime 藍圖,karyst_prime_blueprint
凱洛斯特 prime 刀刃,karyst_prime_blade
私法 補給,vigilante_supplies
月落烏啼,crushing_ruin
布萊頓 prime 槍托,braton_prime_stock
達克拉 prime 藍圖,dakra_prime_blueprint
心志偏狹,narrow_minded
xiphos 飛航系統 藍圖,xiphos_avionics_blueprint
堅守,stand_ground
戰刃 prime 藍圖,glaive_prime_blueprint
弱點專精 prime,primed_target_cracker
反射拔槍,reflex_draw
史提托雙槍 prime 連接器,akstiletto_prime_link
滅亡 orokin,bane_of_corrupted
hunhow 數據景觀場景,hunhows_datascape_scene
致殘槍彈,maim
oberon prime 藍圖,oberon_prime_blueprint
搜刮者,looter
手槍彈藥轉換,pistol_ammo_mutation
劇毒螫刺,poisonous_sting
harrow 神廟場景,harrows_temple_scene
amaryn 的避難所場景,amaryns_retreat_scene
色鍵場景,color_key_scene
菲德菈 一套,phaedra_set
西諾斯 prime 弓弦,cernos_prime_string
西諾斯 prime 一套,cernos_prime_set
valkyr prime 藍圖,valkyr_prime_blueprint
valkyr prime 一套,valkyr_prime_set
凱旋之爪 prime 爪刃,venka_prime_blades
賞金獵人,bounty_hunter
鎖定目標,target_acquired
覓心獵手,heartseeker
忠實搭檔,loyal_companion
狂暴尚武,martial_fury
果斷裁決,decisive_judgement
迴轉旋擊,twirling_spire
輔助動力,auxiliary_power
夜靈晶體 藍圖,eidolon_lens_blueprint
微光利爪,gleaming_talon
蒐集,scavenge
神槍手,gunslinger
分裂編織,sundering_weave
穿刺彈藥,impaler_munitions
鳳凰新生,phoenix_renewal
電衝彈藥,shell_shock
幼體爆發,larva_burst
弧刃回天,cleaving_whirlwind
人群驅散,crowd_dispersion
合成燃氣砲 槍機,cyngas_receiver
odonata prime 藍圖,odonata_prime_blueprint
無明制裁,blind_justice
全面接觸,full_contact
醫療射線,medi_ray
電磁防護,electromagnetic_shielding
凱旋將軍 破壞者 一套,imperator_vandal_set
加力燃燒,afterburner
手槍精通 prime,primed_pistol_gambit
勇氣 海克,vaykor_hek
液壓槍管,hydraulic_barrel
saryn prime 頭部神經光元 藍圖,saryn_prime_neuroptics_blueprint
海波斯庫拉對劍 prime 刀刃,nami_skyla_prime_blade
皇家拐刃 prime 握柄,kronen_prime_handle
角鬥士 靈巧,gladiator_finesse
預言 通靈,augur_reach
犧牲,sacrifice
獵者 追蹤,hunter_track
獵者 命令,hunter_command
野豬 prime 槍機,boar_prime_receiver
omega 信標,omega_beacon
蛻化再生,regenerative_molt
野豬 prime 槍托,boar_prime_stock
蛇髮女妖 亡魂 槍管,gorgon_wraith_barrel
科加基 prime 靴子,kogake_prime_boot
螺釘雙槍 prime 一套,akbolto_prime_set
螺釘雙槍 prime 連接器,akbolto_prime_link
螺釘雙槍 prime 槍管,akbolto_prime_barrel
布萊頓 破壞者 藍圖,braton_vandal_blueprint
limbo prime 一套,limbo_prime_set
分裂鎚音,partitioned_mallet
梯狀異骸石,trapezium_xenorhast
活力現榨,juice
岩者 胸廓,saxum_thorax
亡骸機甲 壓迫點,necramech_pressure_point
亡骸機甲 生命力,necramech_vitality
放血噬咬,draining_bite
亡骸機甲 氣流動,necramech_slipstream
強酸唾沫,acidic_spittle
內寄生媒,endoparasitic_vector
亡骸機甲 推進器,necramech_thrusters
損毀的亡骸機甲武器吊艙,damaged_necramech_weapon_pod
琢化天磨石,faceted_tiametrite
損毀的亡骸機甲引擎,damaged_necramech_engine
落地轟炸,bomb_the_landin
阿耶檀識 sah 塑像,ayatan_sah_sculpture
血色面紗強化mod,red_veil_augment_mod
狡詐面貌,cunning_aspect
反射,reflect
撕裂之風,rending_wind
黑鴉 槍機,corvas_receiver
高貴踏頻,noble_cadence
熱磁彈藥,thermagnetic_shells
黑鴉 槍托,corvas_stock
動力回彈,kinetic_ricochet
垂死掙扎,mortal_conduct
招架,parry
暗殺者 prime 藍圖,sicarus_prime_blueprint
蛇髮女妖 亡魂 一套,gorgon_wraith_set
飛升技巧,rising_skill
高壓粉碎,fracturing_crush
狼牙 prime 藍圖,fang_prime_blueprint
終結閃光,radiant_finish
兇惡終結,ferocity
xiphos 一套,xiphos_set
高壓電流,high_voltage
vauban prime 機體 藍圖,vauban_prime_chassis_blueprint
充能電幕,recharge_barrier
調節跳躍,tempered_bound
聚焦加速,focused_acceleration
衝擊巨力,collision_force
拉特昂 prime 藍圖,latron_prime_blueprint
布萊頓 prime 藍圖,braton_prime_blueprint
積穢驍龍,defiled_snapdragon
侍刃 prime 握柄,nikana_prime_hilt
復元,recuperate
侍刃 prime 一套,nikana_prime_set
弱點感應,vital_sense
valkyr prime 系統 藍圖,valkyr_prime_systems_blueprint
合成燃氣砲 一套,cyngas_set
破碎的戰爭之劍 一套,broken_war_set
凱旋之爪 prime 手套,venka_prime_gauntlet
死亡使徒 一套,kaszas_set
極速電磁步槍 一套,velocitus_set
巨浪 一套,fluctus_set
什長雙槍 一套,dual_decurion_set
廣域之視,broad_eye
電壓數列,voltage_sequence
野馬雙槍 prime 藍圖,akbronco_prime_blueprint
低溫彈頭,cryo_rounds
寂靜炮組,silent_battery
菲德菈 槍機,phaedra_receiver
悅音 prime 槍機,euphona_prime_receiver
瞬時堅毅,transient_fortitude
震盪彈頭,concussion_rounds
嚎聲,howl
馴象鉤刃 握柄,agkuza_handle
搬運者 prime 系統,carrier_prime_systems
致命匿殺,covert_lethality
輕羽箭,feathered_arrows
加載彈容,loaded_capacity
鬆弛槍膛,loose_chamber
閃避裝甲,armored_evade
奈米塗覆,nano_applicator
重點防禦,focused_defense
槍火引導,guided_ordnance
斯特朗 亡魂 藍圖,strun_wraith_blueprint
巨大石者,titanic_rumbler
旋刃飛刀 prime 藍圖,spira_prime_blueprint
旋刃飛刀 prime 一套,spira_prime_set
希芙 刀刃,sheev_blade
希芙 散熱片,sheev_heatsink
希芙 一套,sheev_set
轟隆石者,rumbled
狙擊特昂 破壞者 藍圖,snipetron_vandal_blueprint
獵人骨鋸,hunters_bonesaw
極速電磁步槍 槍管,velocitus_barrel
毒素抵抗,toxin_resistance
海波斯庫拉對劍 prime 一套,nami_skyla_prime_set
皇家拐刃 prime 一套,kronen_prime_set
赫利俄斯 prime 系統,helios_prime_systems
延展,extend
熱病打擊 prime,primed_fever_strike
神威觸染,exodia_contagion
狂鯊 prime 一套,tiberon_prime_set
神威流行病,exodia_epidemic
mirage prime 系統 藍圖,mirage_prime_systems_blueprint
