ch_sim,slug
奥努里克斯 刀刃,onorix_blade
凯旋之爪 prime 一套,venka_prime_set
消音,suppress
目标入定,target_fixation
磁浮,maglev
净化 grineer,cleanse_grineer
加剧反射,heightened_reflexes
狩猎,hunt
欧特鲁斯 prime 蓝图,orthos_prime_blueprint
恶怨厅,hall_of_malevolence
毁灭 grineer,smite_grineer
烈焰风暴,firestorm
灭亡 corpus,bane_of_corpus
嗜血 狂暴,berserker_fury
振奋劫掠,rousing_plunder
松弛弹匣,loose_magazine
生命打击,life_strike
翻筋斗,handspring
帕里斯 prime 弓身,paris_prime_grip
幸运射击,lucky_shot
带电枪管,electrified_barrel
极限弹容,maximum_capacity
救星诱饵,savior_decoy
缠旋风切,stalking_fan
灭亡奥罗金 prime,primed_bane_of_corrupted
保温服,warm_coat
腐败弹匣,tainted_mag
战术性撤退,tactical_retreat
光明纯净,bright_purity
冰冷疾风,frigid_blast
破片弹头,shrapnel_rounds
血色刃缘,bleeding_edge
和平·追寻者,pax_seeker
mesa prime 蓝图,mesa_prime_blueprint
equinox prime 头部神经光元 蓝图,equinox_prime_neuroptics_blueprint
救赎者 prime 蓝图,redeemer_prime_blueprint
正直·尖刺,virtuos_spike
提佩多 prime 蓝图,tipedo_prime_blueprint
锯齿边缘,serrated_edges
火焰防护,flame_repellent
量子切割器·破坏者,quanta_vandal
苦痛·德特昂,mara_detron
减震器,shock_absorbers
野马 prime 枪机,bronco_prime_receiver
异融 alad v 导航坐标,mutalist_nav_coordinates
伯斯顿 prime 蓝图,burston_prime_blueprint
精湛快手,soft_hands
簧压猎箭,spring_loaded_broadhead
裂隙洪流,rift_torrent
伯斯顿 prime 枪托,burston_prime_stock
一剑在手,sword_alone
机动装填,tactical_reload
飞扬 prime 蓝图,hikou_prime_blueprint
催泪毒雾,tear_gas
串联弹匣 prime,primed_slip_magazine
庇护,shelter
纵横双子,gemini_cross
破裂,rupture
先锋 秘奥头盔,arcane_vanguard_helmet
巨人促进剂,fomorian_accelerant
川流不息 prime,primed_flow
凯旋将军·破坏者 蓝图,imperator_vandal_blueprint
手枪弹药转换 prime,primed_pistol_ammo_mutation
潘德拉冈 秘奥头盔,arcane_pendragon_helmet
棱晶·真理巨剑,prisma_veritux
残响共鸣,resonance
弹道靶心,ballistic_bullseye
volt prime 蓝图,volt_prime_blueprint
穿刺抛体,piercing_navigator
集气城市 alad 的实验室场景,gas_city_alads_laboratory_scene
重装火力,magnum_force
驱逐 corpus,expel_corpus
ember prime 机体 蓝图,ember_prime_chassis_blueprint
赋能·节奏,arcane_tempo
madurai 晶体,madurai_lens
unairu 晶体,unairu_lens
狡诈窜升,cunning_drift
坚忍窜升,endurance_drift
耗弱链接,abating_link
力量窜升,power_drift
速度窜升,speed_drift
圣域爆发,hallowed_eruption
匿踪窜升,stealth_drift
rhino prime 机体 蓝图,rhino_prime_chassis_blueprint
切割刃缘,cutting_edge
碎铁弹片,iron_shrapnel
野马双枪 prime 一套,akbronco_prime_set
传染蔓延,contagious_spread
赋能·灵敏,arcane_agility
刺骨战吼,piercing_roar
搬运者 prime 一套,carrier_prime_set
静谧无踪,hushed_invisibility
达克拉 prime 一套,dakra_prime_set
贪夺触角,pilfering_swarm
钻石皮肤,diamond_skin
德拉·破坏者 一套,dera_vandal_set
毒素数列,toxic_sequence
拉特昂·亡魂 蓝图,latron_wraith_blueprint
拉特昂·亡魂 枪机,latron_wraith_receiver
拉特昂·亡魂 枪托,latron_wraith_stock
拉特昂·亡魂 一套,latron_wraith_set
侵略领土,territorial_aggression
挥击,swipe
猛扑,pounce
磨锋之爪,sharpened_claws
双子蝰蛇·亡魂 连接器,twin_vipers_wraith_link
双子蝰蛇·亡魂 枪机,twin_vipers_wraith_receivers
双子蝰蛇·亡魂 一套,twin_vipers_wraith_set
侦敌雷达,enemy_radar
nekros prime 机体 蓝图,nekros_prime_chassis_blueprint
赋能·卫士,arcane_bodyguard
赋能·主武充能,arcane_primary_charger
迅敏动量,swift_momentum
战斗教条,combat_discipline
赋能·刀刃充能,arcane_blade_charger
近战指引,melee_guidance
atlas prime 机体 蓝图,atlas_prime_chassis_blueprint
死亡魔方 prime 外壳,dethcube_prime_carapace
死亡魔方 prime 头部,dethcube_prime_cerebrum
铁钩手甲 prime 拳套,tekko_prime_gauntlet
死亡魔方 prime 蓝图,dethcube_prime_blueprint
死亡魔方 prime 一套,dethcube_prime_set
冰冷刃缘,glacial_edge
肢解,organ_shatter
limbo prime 系统 蓝图,limbo_prime_systems_blueprint
溜之大吉,runtime
脚底抹油,hit_and_run
ivara prime 头部神经光元 蓝图,ivara_prime_neuroptics_blueprint
ivara prime 机体 蓝图,ivara_prime_chassis_blueprint
ivara prime 系统 蓝图,ivara_prime_systems_blueprint
苍鹰 prime 蓝图,baza_prime_blueprint
苍鹰 prime 一套,baza_prime_set
轻灵月神双枪 prime 一套,aksomati_prime_set
轻灵月神双枪 prime 连接器,aksomati_prime_link
苍鹰 prime 枪托,baza_prime_stock
轻灵月神双枪 prime 枪机,aksomati_prime_receiver
格拉姆 prime 握柄,gram_prime_handle
剑风 prime,primed_reach
庇护焚炉,warding_thurible
赫利俄斯 prime 蓝图,helios_prime_blueprint
极限速度,terminal_velocity
冰风暴,ice_storm
飓风海怪,cyclone_kraken
卡拉克·亡魂 枪机,karak_wraith_receiver
灵枢 圆盘,orvius_disc
vazarin 晶体,vazarin_lens
沉没之爪,sinking_talon
生命转换,health_conversion
增幅线圈,reflex_coil
瓦斯托 prime 枪机,vasto_prime_receiver
灼热跳跃,searing_leap
战利品探测器,loot_detector
永续力场,repelling_bastille
中空子弹,hollowed_bullets
scimitar 引擎 蓝图,scimitar_engines_blueprint
铁甲冲锋,ironclad_charge
veil 的拘束台场景,veils_binding_scene
魔导·驱动,magus_drive
快速装填,quick_reload
菌株 热毒,strain_fever
曲翼枪械行家,archgun_ace
狂堆速,mad_stack
猛爆致病,teeming_virulence
福尔图娜场景,fortuna_scene
提佩多 prime 饰物,tipedo_prime_ornament
斯特拉迪瓦 prime 枪机,stradavar_prime_receiver
狙击特昂·破坏者 枪管,snipetron_vandal_barrel
毒蝎 秘奥头盔,arcane_scorpion_helmet
蛟龙 prime 头部,wyrm_prime_cerebrum
迅敏视觉,spry_sights
目标感应,targeting_receptor
阿耶檀识 valana 塑像,ayatan_valana_sculpture
灭亡 infested,bane_of_infested
电击触点,shocking_touch
合成燃气炮 枪管,cyngas_barrel
冲刺提升,sprint_boost
合成燃气炮 枪托,cyngas_stock
狂怒标枪,furious_javelin
雷克斯 prime 蓝图,lex_prime_blueprint
幽暗枯竭,draining_gloom
集气城市元素精炼场景,gas_city_elemental_refinement_scene
地狱火,hellfire
精准弹药,precision_munition
氩晶装甲,argon_plating
corpus虚空钥匙,corpus_void_key
飞扬 prime 一套,hikou_prime_set
弹头导引,seeker
熔岩冲击,molten_impact
欧特鲁斯 prime 握柄,orthos_prime_handle
收割者 prime 刀刃,reaper_prime_blade
撕裂打击,rending_strike
霰弹扩充,ammo_stock
自爆,self_destruct
簧压膛室,spring_loaded_chamber
加速冲击,accelerated_blast
分裂斩斧 prime 蓝图,scindo_prime_blueprint
污秽弹药,tainted_shell
过激真相,stinging_truth
转轮弹匣,repeater_clip
一击必杀,killing_blow
内置触媒,embedded_catalyzer
熔岩弹膛,magma_chamber
弹跳,rebound
卸能打击,discharge_strike
风暴 秘奥头盔,arcane_storm_helmet
剑风,reach
抗爆覆甲,anti_flak_plating
泪滴形石青,tear_azurite
霰弹枪裂罅 mod （尚未揭开）,shotgun_riven_mod_(veiled)
魔导·韵律,magus_cadence
神威·勇武,exodia_brave
神威·狩猎,exodia_hunt
神威·凯旋,exodia_triumph
魔导·滋养,magus_nourish
正直·暗影,virtuos_shadow
ember prime 系统 蓝图,ember_prime_systems_blueprint
frost prime 机体 蓝图,frost_prime_chassis_blueprint
rhino prime 系统 蓝图,rhino_prime_systems_blueprint
ember prime 蓝图,ember_prime_blueprint
侵蚀毁坏,eroding_blight
致命数列,deadly_sequence
热病打击,fever_strike
锯齿弹链,sawtooth_clip
本质 秘奥头盔,arcane_essence_helmet
飞蝗 秘奥头盔,arcane_locust_helmet
皇家节奏,tempo_royale
弧度心智晶核,radian_sentirum
棱晶·蛇发女妖,prisma_gorgon
头脑风暴,brain_storm
正午,high_noon
散射正义,scattered_justice
残暴浪潮,brutal_tide
漏斗状云,funnel_clouds
ash prime 蓝图,ash_prime_blueprint
什长双枪 枪机,decurion_receiver
毁坏毒素,toxic_blight
喀婆萨 prime 库狛项圈 蓝图,kavasa_prime_kubrow_collar_blueprint
阿耶檀识青蓝星,ayatan_cyan_star
致死加速,fatal_acceleration
菲德菈 枪管,phaedra_barrel
盗贼天赋,thiefs_wit
弗拉克斯·亡魂 左拳套,furax_wraith_left_gauntlet
非凡技巧,melee_prowess
阿耶檀识琥珀星,ayatan_amber_star
长时瘫痪,prolonged_paralysis
步枪裂罅 mod （尚未揭开）,rifle_riven_mod_(veiled)
高射炮击,flak_shot
贯彻始终,follow_through
持续火力,quickdraw
奚落守护,guardian_derision
冰冷雪崩,icy_avalanche
vay hek 坐标频率三角仪,vay_hek_frequency_triangulator
牵绳机雷,whiplash_mine
气息疗愈,odomedic
质子 喷射,proton_jet
协议覆盖,security_override
裂隙避难所,rift_haven
马谢特砍刀·亡魂,machete_wraith
火绫守护,safeguard
普罗沃·破坏者,prova_vandal
化像之道,path_of_statues
感染毒雾,contagion_cloud
收割者 prime 一套,reaper_prime_set
献祭之辉,immolated_radiance
vauban prime 蓝图,vauban_prime_blueprint
搬运者 prime 外壳,carrier_prime_carapace
充量弹容,full_capacity
磁吸释放,magnetized_discharge
甲龙双拳 prime 蓝图,ankyros_prime_blueprint
inaros 古墓场景,inaros_tomb_scene
野猪 prime 枪管,boar_prime_barrel
oberon prime 机体 蓝图,oberon_prime_chassis_blueprint
填弹上膛,lock_and_load
月动球竞技场场景,lunaro_arena_scene
席瓦 & 神盾 prime 刀刃,silva_and_aegis_prime_blade
赋能·保卫者,arcane_guardian
螺钉步枪 prime 蓝图,boltor_prime_blueprint
快速充能,fast_deflection
席芭莉丝 prime 一套,sybaris_prime_set
oberon prime 系统 蓝图,oberon_prime_systems_blueprint
苍鹰 prime 枪机,baza_prime_receiver
毁灭 infested prime,primed_smite_infested
舍杜 枪管,shedu_barrel
舍杜 枪机,shedu_receiver
毁灭 corpus prime,primed_smite_corpus
sentient 喷泉场景,sentient_fountain_scene
舍杜 一套,shedu_set
舍杜 机体,shedu_chassis
虚空隐匿,void_cloak
小队治愈,squad_renew
截面密度,section_density
热流涌动,flow_burn
涌流突进,surging_dash
指挥家,conductor
蓄积长鞭,accumulating_whipclaw
心形夜石,heart_noctrul
光子续能器,photon_repeater
救赎者 prime 一套,redeemer_prime_set
低温外壳,hypothermic_shell
湮灭弹头,warhead
战位,battle_stations
反制系统,countermeasures
祭血锻造,blood_forge
野火涌流,balefire_surge
sentient 盆地场景,sentient_basin_scene
sentient 阳台场景,sentient_balcony_scene
无尽催眠曲,endless_lullaby
魔导·触媒,magus_accelerant
迦伦提恩 prime 蓝图,galatine_prime_blueprint
空中制霸,aerial_ace
充沛射击,energizing_shot
聚精滑翔,anchored_glide
恶毒弹匣,venomous_clip
德拉·破坏者 枪管,dera_vandal_barrel
平衡配重,counterweight
反重力榴弹,anti_grav_grenade
快速休整,brief_respite
欧特鲁斯 prime 一套,orthos_prime_set
狂化突击,hysterical_assault
跃浪好手,adept_surge
蛇发女妖的狂热,gorgon_frenzy
volt prime 一套,volt_prime_set
伊舍兄弟之石,esher_devar
banshee prime 头部神经光元 蓝图,banshee_prime_neuroptics_blueprint
电光脉冲,electro_pulse
啃咬压制,neutralize
嗅索取物,retrieve
凯旋将军·破坏者 枪机,imperator_vandal_receiver
保障·勒克塔,secura_lecta
圣使 系统,amesha_systems_blueprint
圣使 机翼,amesha_wings_blueprint
圣使 外甲,amesha_harness_blueprint
圣使 一套,amesha_set
鞘翅 外甲,elytron_harness_blueprint
鞘翅 一套,elytron_set
刺影 系统 蓝图,itzal_systems_blueprint
刺影 机翼 蓝图,itzal_wings_blueprint
刺影 外甲 蓝图,itzal_harness_blueprint
刺影 一套,itzal_set
阿耶檀识 vaya 塑像,ayatan_vaya_sculpture
佩兰数列强化mod,the_perrin_sequence_augment_mod
新世间强化mod,new_loka_augment_mod
均衡仲裁者强化mod,arbiters_of_hexis_augment_mod
招福,charm
猫眼,cats_eye
宠物治疗套件,medi_pet_kit
收割者 prime 握柄,reaper_prime_handle
暗杀者 prime 枪管,sicarus_prime_barrel
布莱顿 prime 枪管,braton_prime_barrel
净化烈焰,purifying_flames
能量超载,overcharged
鞘翅 机翼,elytron_wings_blueprint
顽皮,mischief
猛虎 prime 一套,tigris_prime_set
护盾充能,shield_charger
绯红·暗黑匕首,rakta_dark_dagger
静电释放,static_discharge
痛苦阈值,pain_threshold
帕里斯 prime 弓弦,paris_prime_string
游离双管,double_barrel_drift
蛇发女妖·亡魂 蓝图,gorgon_wraith_blueprint
氩晶瞄具,argon_scope
爆散消亡,explosive_demise
暗杀者 prime 枪机,sicarus_prime_receiver
mantis 引擎 蓝图,mantis_engines_blueprint
准确射手,sure_shot
战刃 prime 刀刃,glaive_prime_blade
蚀能磁触,sapping_reach
卡拉克·亡魂 一套,karak_wraith_set
重击巨锤 prime 一套,fragor_prime_set
赤红狂舞,crimson_dervish
史提托双枪 prime 蓝图,akstiletto_prime_blueprint
史提托双枪 prime 枪管,akstiletto_prime_barrel
深层冷冻,deep_freeze
史提托双枪 prime 枪机,akstiletto_prime_receiver
体魄,physique
螺钉双枪 prime 枪机,akbolto_prime_receiver
帕里斯 prime 上弓臂,paris_prime_upper_limb
螺钉双枪 prime 蓝图,akbolto_prime_blueprint
席瓦 & 神盾 prime 蓝图,silva_and_aegis_prime_blueprint
分裂斩斧 prime 刀刃,scindo_prime_blade
悦音 prime 枪管,euphona_prime_barrel
mag prime 蓝图,mag_prime_blueprint
弗拉克斯·亡魂 蓝图,furax_wraith_blueprint
frost prime 系统 蓝图,frost_prime_systems_blueprint
冰冷跃动,ice_spring
碎裂冲击,shattering_impact
非晶变压器,morphic_transformer
赫利俄斯 prime 头部,helios_prime_cerebrum
帕里斯 prime 下弓臂,paris_prime_lower_limb
三重连击,triple_tap
恶毒猛禽,malicious_raptor
幽影之护,shield_of_shadows
空尖弹,hollow_point
不朽打击,enduring_strike
延烧数列,sequence_burn
xiphos 机身 蓝图,xiphos_fuselage_blueprint
mantis 机身 蓝图,mantis_fuselage_blueprint
尖刃弹头,bladed_rounds
撕裂,shred
mantis 飞航系统 蓝图,mantis_avionics_blueprint
膛线,serration
赋能·复原,arcane_healing
scimitar 机身 蓝图,scimitar_fuselage_blueprint
快速收回,quick_return
避雷针,lightning_rod
赋能·温暖,arcane_warmth
钢铁充能,steel_charge
狂暴化,rage
未完之刺,lasting_sting
圣洁·执法者,sancti_magistar
电磁脉冲场,emp_aura
抚慰之风,pacifying_bolts
金属纤维,metal_fiber
能量扩散,energy_amplifier
薇娜丽的护卫,venari_bodyguard
正直·特洛伊,virtuos_trojan
致盲掠夺,blinding_reave
恐惧屏障,dread_ward
棱晶·葛恩火枪,prisma_grinlok
equinox prime 机体 蓝图,equinox_prime_chassis_blueprint
斯特拉迪瓦 prime 蓝图,stradavar_prime_blueprint
勇气·玛瑞火枪,vaykor_marelok
锯刃弹头,serrated_rounds
xiphos 引擎 蓝图,xiphos_engines_blueprint
titania prime 头部神经光元 蓝图,titania_prime_neuroptics_blueprint
鲮鲤剑 prime 刀刃,pangolin_prime_blade
鲮鲤剑 prime 一套,pangolin_prime_set
titania prime 蓝图,titania_prime_blueprint
节流降耗,revo_reducer
sentient 解剖刀,sentient_scalpel
titania prime 一套,titania_prime_set
责难裁决,tribunal
肉弹发射,catapult
炽燃劫掠,blazing_pillage
迷尘丰益,spellbound_harvest
巡航速度,cruising_speed
高效光能炮,artillery_cheap_shot
炮台速度,turret_velocity
高效火炮,ordnance_cheap_shot
弩炮测距,ballista_measure
快速锁定,quicklock
火炮速度,ordnance_velocity
净化 grineer prime,primed_cleanse_grineer
净化 infested prime,primed_cleanse_infested
净化 corpus prime,primed_cleanse_corpus
净化奥罗金 prime,primed_cleanse_corrupted
增生突变,abundant_mutation
晕眩弹药,dizzying_rounds
显形孢子,revealing_spores
狂化震怒,enraged
碎石堆叠,rubble_heap
精准打击,precision_strike
致命机动,deadly_maneuvers
banshee prime 蓝图,banshee_prime_blueprint
激冷装填,chilling_reload
流线外形,streamlined_form
漂移接触,drifting_contact
valkyr prime 机体 蓝图,valkyr_prime_chassis_blueprint
低温弹头 prime,primed_cryo_rounds
半人马 一套,centaur_set
奥努里克斯 一套,onorix_set
驯象钩刃 一套,agkuza_set
治愈归复,healing_return
黑鸦 一套,corvas_set
践踏加固,reinforcing_stomp
拉斯波恩 一套,rathbone_set
残酷组合,relentless_combination
西诺斯 prime 蓝图,cernos_prime_blueprint
西诺斯 prime 下弓臂,cernos_prime_lower_limb
西诺斯 prime 上弓臂,cernos_prime_upper_limb
西诺斯 prime 弓身,cernos_prime_grip
异况超量,condition_overload
病毒风暴,viral_tempest
超速击杀,dispatch_overdrive
长时苦难,enduring_affliction
手枪弹药搜集者,pistol_scavenger
蛟龙 prime 一套,wyrm_prime_set
naramon 转换核心,naramon_transmute_core
vazarin 转换核心,vazarin_transmute_core
复仇亡灵,vengeful_revenant
星界剖解,astral_autopsy
ergo 的会议室场景,ergos_boardroom_scene
机动瞄准,agile_aim
冲击预感,anticipation
夜灵平野场景,plains_of_eidolon_scene
撕碎射击,shred_shot
伯斯顿 prime 枪管,burston_prime_barrel
滞痕冰浪,ice_wave_impedance
volt prime 系统 蓝图,volt_prime_systems_blueprint
达克拉 prime 刀刃,dakra_prime_blade
战刃 prime 圆盘,glaive_prime_disc
阿耶檀识 ayr 塑像,ayatan_ayr_sculpture
延伸,stretch
驯象钩刃 护手,agkuza_guard
聚精会神,intensify
重型弹头,heavy_warhead
卡拉克·亡魂 枪托,karak_wraith_stock
madurai 转换核心,madurai_transmute_core
毒素弹幕,toxic_barrage
顶级掠食者,apex_predator
霰弹枪弹药转换,shotgun_ammo_mutation
算计赢家,calculated_victory
超越推进,hyperion_thrusters
感染者阻抗,infested_impedance
hydroid prime 系统 蓝图,hydroid_prime_systems_blueprint
动物本能 prime,primed_animal_instinct
贪夺穹顶,pilfering_strangledome
质子 脉动,proton_pulse
集气城市升降机场景,gas_city_lifts_scene
三伏天场景,dog_days_scene
震波驱动器,shockwave_actuators
同化,assimilate
战刃 prime 一套,glaive_prime_set
分裂斩斧 prime 一套,scindo_prime_set
终极·螺钉拐刃,telos_boltace
拉特昂 prime 枪机,latron_prime_receiver
拉特昂 prime 枪托,latron_prime_stock
雷克斯 prime 枪管,lex_prime_barrel
grineer 森林工厂场景,grineer_forest_factory_scene
心形灵息石,heart_nyth
绝壁强攻,impenetrable_offense
苏达数据空间场景,sudas_datascape_scene
席芭莉丝 prime 枪机,sybaris_prime_receiver
失衡护盾,staggering_shield
史提托双枪 prime 一套,akstiletto_prime_set
诡计之刃 一套,stropha_set
逐电 一套,velox_set
钢刃步枪 枪管,stahlta_barrel
钢刃步枪 一套,stahlta_set
逐电 枪机,velox_receiver
诡计之刃 刀刃,stropha_blade
钢刃步枪 枪机,stahlta_receiver
诡计之刃 枪机,stropha_receiver
诡计之刃 枪托,stropha_stock
诡计之刃 枪管,stropha_barrel
钢刃步枪 枪托,stahlta_stock
逐电 枪管,velox_barrel
corpus 船舰库场景,corpus_ship_hangar_scene
corpus 舰桥场景,corpus_ship_bridge_scene
corpus 船舰追踪炮场景,corpus_ship_orbital_cannon_scene
冷冻光束步枪·破坏者,glaxion_vandal
红晶枪管 prime,primed_rubedo_lined_barrel
inaros prime 一套,inaros_prime_set
inaros prime 机体 蓝图,inaros_prime_chassis_blueprint
inaros prime 头部神经光元 蓝图,inaros_prime_neuroptics_blueprint
inaros prime 蓝图,inaros_prime_blueprint
inaros prime 系统 蓝图,inaros_prime_systems_blueprint
猎豹 prime 枪托,panthera_prime_stock
凯洛斯特 prime 握柄,karyst_prime_handle
凯洛斯特 prime 一套,karyst_prime_set
猎豹 prime 一套,panthera_prime_set
猎豹 prime 枪管,panthera_prime_barrel
猎豹 prime 枪机,panthera_prime_receiver
猎豹 prime 蓝图,panthera_prime_blueprint
凯洛斯特 prime 蓝图,karyst_prime_blueprint
凯洛斯特 prime 刀刃,karyst_prime_blade
私法 补给,vigilante_supplies
月落乌啼,crushing_ruin
布莱顿 prime 枪托,braton_prime_stock
达克拉 prime 蓝图,dakra_prime_blueprint
心志偏狭,narrow_minded
xiphos 飞航系统 蓝图,xiphos_avionics_blueprint
坚守,stand_ground
战刃 prime 蓝图,glaive_prime_blueprint
弱点专精 prime,primed_target_cracker
反射拔枪,reflex_draw
史提托双枪 prime 连接器,akstiletto_prime_link
灭亡奥罗金,bane_of_corrupted
hunhow 的数据空间场景,hunhows_datascape_scene
致残枪弹,maim
oberon prime 蓝图,oberon_prime_blueprint
搜刮者,looter
手枪弹药转换,pistol_ammo_mutation
剧毒螫刺,poisonous_sting
harrow 神庙场景,harrows_temple_scene
amaryn 的避难所场景,amaryns_retreat_scene
色键场景,color_key_scene
菲德菈 一套,phaedra_set
西诺斯 prime 弓弦,cernos_prime_string
西诺斯 prime 一套,cernos_prime_set
valkyr prime 蓝图,valkyr_prime_blueprint
valkyr prime 一套,valkyr_prime_set
凯旋之爪 prime 爪刃,venka_prime_blades
赏金猎人,bounty_hunter
锁定目标,target_acquired
觅心猎手,heartseeker
忠实搭档,loyal_companion
狂暴尚武,martial_fury
果断裁决,decisive_judgement
回转尖峰,twirling_spire
辅助动力,auxiliary_power
夜灵晶体 蓝图,eidolon_lens_blueprint
微光利爪,gleaming_talon
搜集,scavenge
神枪手,gunslinger
分裂编织,sundering_weave
穿刺弹药,impaler_munitions
凤凰新生,phoenix_renewal
电冲弹药,shell_shock
幼体爆发,larva_burst
弧刃回天,cleaving_whirlwind
人群驱散,crowd_dispersion
合成燃气炮 枪机,cyngas_receiver
陨蜓 prime 蓝图,odonata_prime_blueprint
无明制裁,blind_justice
全面接触,full_contact
医疗射线,medi_ray
电磁屏障,electromagnetic_shielding
凯旋将军·破坏者 一套,imperator_vandal_set
加力燃烧,afterburner
手枪精通 prime,primed_pistol_gambit
勇气·海克,vaykor_hek
液压枪管,hydraulic_barrel
saryn prime 头部神经光元 蓝图,saryn_prime_neuroptics_blueprint
海波斯库拉对剑 prime 刀刃,nami_skyla_prime_blade
皇家拐刃 prime 握柄,kronen_prime_handle
角斗士 灵巧,gladiator_finesse
预言 通灵,augur_reach
牺牲,sacrifice
猎人 追踪,hunter_track
猎人 命令,hunter_command
野猪 prime 枪机,boar_prime_receiver
omega 信标,omega_beacon
蜕化再生,regenerative_molt
野猪 prime 枪托,boar_prime_stock
蛇发女妖·亡魂 枪管,gorgon_wraith_barrel
科加基 prime 靴子,kogake_prime_boot
螺钉双枪 prime 一套,akbolto_prime_set
螺钉双枪 prime 连接器,akbolto_prime_link
螺钉双枪 prime 枪管,akbolto_prime_barrel
布莱顿·破坏者 蓝图,braton_vandal_blueprint
limbo prime 一套,limbo_prime_set
分裂槌音,partitioned_mallet
梯型异源石,trapezium_xenorhast
能量果汁,juice
重岩者 胸腔,saxum_thorax
殁世机甲 压迫点,necramech_pressure_point
殁世机甲 生命力,necramech_vitality
吸血噬咬,draining_bite
殁世机甲 滑流,necramech_slipstream
浓酸唾液,acidic_spittle
内寄生向量,endoparasitic_vector
殁世机甲 推进器,necramech_thrusters
损坏的殁世机甲 武器舱,damaged_necramech_weapon_pod
多面提亚美凝石,faceted_tiametrite
损坏的殁世机甲 引擎,damaged_necramech_engine
轰炸落地,bomb_the_landin
阿耶檀识 sah 塑像,ayatan_sah_sculpture
血色面纱强化mod,red_veil_augment_mod
狡诈面貌,cunning_aspect
反射,reflect
撕裂之风,rending_wind
黑鸦 枪机,corvas_receiver
高贵踏频,noble_cadence
热磁弹药,thermagnetic_shells
黑鸦 枪托,corvas_stock
动力回弹,kinetic_ricochet
垂死挣扎,mortal_conduct
招架,parry
暗杀者 prime 蓝图,sicarus_prime_blueprint
蛇发女妖·亡魂 一套,gorgon_wraith_set
飞升技巧,rising_skill
高压粉碎,fracturing_crush
狼牙 prime 蓝图,fang_prime_blueprint
终结闪光,radiant_finish
凶恶终结,ferocity
xiphos 一套,xiphos_set
高压电流,high_voltage
vauban prime 机体 蓝图,vauban_prime_chassis_blueprint
充能电幕,recharge_barrier
调节跳跃,tempered_bound
聚焦加速,focused_acceleration
冲击巨力,collision_force
拉特昂 prime 蓝图,latron_prime_blueprint
布莱顿 prime 蓝图,braton_prime_blueprint
积秽骁龙,defiled_snapdragon
侍刃 prime 握柄,nikana_prime_hilt
复元,recuperate
侍刃 prime 一套,nikana_prime_set
弱点感应,vital_sense
valkyr prime 系统 蓝图,valkyr_prime_systems_blueprint
合成燃气炮 一套,cyngas_set
破碎的战争之剑 一套,broken_war_set
凯旋之爪 prime 手套,venka_prime_gauntlet
死亡使徒 一套,kaszas_set
极速电磁步枪 一套,velocitus_set
巨浪 一套,fluctus_set
什长双枪 一套,dual_decurion_set
广域之视,broad_eye
电压数列,voltage_sequence
野马双枪 prime 蓝图,akbronco_prime_blueprint
低温弹头,cryo_rounds
寂静炮组,silent_battery
菲德菈 枪机,phaedra_receiver
悦音 prime 枪机,euphona_prime_receiver
瞬时坚毅,transient_fortitude
震荡弹头,concussion_rounds
嚎声,howl
驯象钩刃 握柄,agkuza_handle
搬运者 prime 系统,carrier_prime_systems
致命匿杀,covert_lethality
轻羽箭,feathered_arrows
加载弹容,loaded_capacity
松弛枪膛,loose_chamber
闪避装甲,armored_evade
纳米涂覆,nano_applicator
重点防御,focused_defense
制导弹药,guided_ordnance
斯特朗·亡魂 蓝图,strun_wraith_blueprint
巨大石者,titanic_rumbler
旋刃飞刀 prime 蓝图,spira_prime_blueprint
旋刃飞刀 prime 一套,spira_prime_set
希芙 刀刃,sheev_blade
希芙 散热片,sheev_heatsink
希芙 一套,sheev_set
轰隆石者,rumbled
狙击特昂·破坏者 蓝图,snipetron_vandal_blueprint
猎人骨锯,hunters_bonesaw
极速电磁步枪 枪管,velocitus_barrel
毒素抵抗,toxin_resistance
海波斯库拉对剑 prime 一套,nami_skyla_prime_set
皇家拐刃 prime 一套,kronen_prime_set
赫利俄斯 prime 系统,helios_prime_systems
延展,extend
热病打击 prime,primed_fever_strike
神威·触染,exodia_contagion
狂鲨 prime 一套,tiberon_prime_set
神威·流行病,exodia_epidemic
mirage prime 系统 蓝图,mirage_prime_systems_blueprint
mirage prime 蓝图,mirage_prime_blueprint
持续火力 prime,primed_quickdraw
机甲 充能,mecha_recharge
合成 纤维,synth_fiber
消音器,hush
重击巨锤 prime 锤头,fragor_prime_head
践踏,trample
合金钻头,metal_auger
盗贼大师,master_thief
冷冻包覆,cryo_coating
爆发质量,bursting_mass
提佩多 prime 一套,tipedo_prime_set
斩铁,true_steel
天启异象,four_riders
守望者 prime 蓝图,vectis_prime_blueprint
动物本能,animal_instinct
灼热光束,combustion_beam
哈库那瞄准镜,harkonar_scope
集气城市走道场景,gas_city_walkway_scene
集气城市死亡出口场景,gas_city_dead_exit_scene
空气动力,aerodynamic
atlas prime 一套,atlas_prime_set
铁钩手甲 prime 刀刃,tekko_prime_blade
铁钩手甲 prime 一套,tekko_prime_set
铁钩手甲 prime 蓝图,tekko_prime_blueprint
殁世机甲 蓄能重划,necramech_redirection
损坏的殁世机甲武器 枪管,damaged_necramech_weapon_barrel
损坏的殁世机甲武器 一套,damaged_necramech_weapon_set
损坏的殁世机甲武器 枪机,damaged_necramech_weapon_receiver
